PC1,PC2,PC3,Ticker,Cluster
0.1050693789649613,-0.14201557941791546,0.04272959560973883,A,0.0
0.14602022482639843,-0.06322931574736508,0.06087532504548786,ABBV,23.0
0.22058581504389183,-0.10489291900587613,0.0635457292589687,ABT,22.0
-0.01626031305105981,0.17695705292259178,-0.028599245852552375,ACGL,6.0
-0.03685440607076627,-0.2427684501200225,-0.07459418409843244,ADI,7.0
0.07539330989802917,0.006968443612740368,-0.037584207457848344,ADP,1.0
0.3116610605389205,0.24675737636320189,-6.302311904516563e-05,AEE,36.0
0.3310139359186234,0.26180826530077694,0.01608022224227288,AEP,36.0
-0.29923790093813657,0.13180683993885411,-0.05798788056895277,AIG,13.0
-0.020398262935434737,0.09426788254494622,-0.0012766388516696734,AIZ,6.0
0.09735579254170705,0.048141821800722163,0.000899554188783822,AJG,4.0
-0.07291253545009817,-0.32471264623059376,-0.13501717926311654,AMAT,7.0
-0.0464886817465455,-0.04356965299810499,0.08705578515540094,AME,9.0
0.09862423911127766,0.02672119850533447,0.05960556331014277,AON,4.0
-0.8808311077432184,0.03217500192914445,0.45606221702985855,APA,28.0
0.08778928308453536,-0.008526484094980297,0.080686947262006,APD,12.0
-0.14536278335259825,-0.06099662865649168,0.020243606859458804,APO,10.0
0.18955342415254603,0.15324677193440953,-0.04746047533870907,ARE,33.0
0.11789299826980443,0.2863389161875727,-0.10124474477712891,AVB,33.0
-0.047025372312391234,-0.2591942424694673,-0.13126182049560928,AVGO,7.0
-0.2081670347723712,0.09084153280593452,-0.0715519923964249,AXP,13.0
0.21723527161109538,-0.0425468268777022,0.0785381025049406,BAX,22.0
-0.11631653902687292,0.0037613565108707303,0.09959509955353583,BK,14.0
-0.39615180340876976,0.048378197303844406,0.2512136369515326,BKR,28.0
0.19106468866356466,-0.007032103043248325,0.0593768640485756,BMY,23.0
0.13326387548527224,0.03417213319074747,0.04815930838312771,BRO,4.0
0.05709490505458889,-0.023435885406490244,-0.07121626862882104,BSX,0.0
-0.08145123821679437,-0.09941202722528424,0.027415043971873762,BX,10.0
-0.048705576795625906,0.2922130938589052,-0.10653740690828238,BXP,34.0
0.0777291399497429,0.004892724020827684,0.1130368720798355,CAH,30.0
0.023374855127788207,0.16020322384786195,0.010337204548333315,CB,6.0
-0.6805910125772693,0.22829349586110284,-0.4707748449576268,CCL,21.0
0.14594661853970828,-0.24758927624894098,-0.09002326242956671,CDNS,3.0
-0.29271285952757087,-0.05413191149269708,0.14323058677128514,CF,11.0
-0.42536675637615873,0.060651002847988765,0.049025048282156015,CFG,17.0
0.3605558624548854,0.06614067173884106,0.0890941137304001,CHD,19.0
0.01996697095982248,0.01073597823755176,0.0027045628737596603,CI,26.0
0.03428618406409698,0.16188444510060365,0.06502665281668206,CINF,6.0
0.2828341703795195,0.10273051724389963,0.058038781410619404,CL,18.0
0.4233154622128691,0.07695652733211399,0.10047083223757018,CLX,19.0
0.3295515308842231,0.2694729448462417,0.0024883627278478437,CMS,36.0
0.09836051639466009,-0.0652201860047573,-0.039895042855010845,CNC,26.0
-0.3565475733918989,0.06564566023814604,-0.0472083813889745,COF,13.0
0.1282079283641158,-0.041143482946581024,-0.05699140048457628,COO,0.0
-0.4337356688494649,0.02706963026781783,0.32343752328548997,COP,28.0
0.14508599073368353,0.006876561047731611,0.09958253477900657,COR,30.0
0.2804883055090897,-0.015223723194441851,0.05893049328867063,COST,31.0
0.13590229298511758,0.24566858993007834,-0.09099994308796748,CPT,33.0
-0.06620676091636794,-0.039687441942188165,0.08875005744742606,CSX,9.0
0.1367733042781132,0.06564438181247108,0.07866528152071516,CVS,30.0
-0.061314945013663684,-0.03744327293893171,0.07623656609435091,DE,9.0
0.29966602179812285,-0.012780400328243053,0.03501677604962215,DG,31.0
0.15420240967078022,-0.008365934765548151,-0.026987577442084545,DGX,25.0
-0.008849915713541292,0.006813873742127748,-0.14533923170873952,DHI,37.0
-0.10114157839743175,0.013698258011663581,0.0888689317239769,DOV,8.0
-0.26625988258526967,0.15788667662744407,-0.2868218410795799,DRI,32.0
0.11347878263252538,0.3005130597030219,-0.06414462153725307,DTE,35.0
0.13497155389132992,-0.003996814964137279,0.05219683560195188,DVA,30.0
-0.7625527913290631,-0.0440645410084389,0.4685439051980771,DVN,28.0
0.2609208207871456,-0.20035986918578175,-0.04139428520659756,EA,5.0
0.045982503247022424,0.1570656657267379,0.035825349040725714,EG,6.0
0.07071084060581312,0.018935668804385034,-0.03659029194557938,ELV,26.0
-0.4558856498533069,0.02472293998153463,0.37783426736829,EOG,28.0
0.11565286755860071,0.28297145865465323,-0.10943652848396904,EQR,33.0
0.10455283511351962,0.2779872559631681,-0.1323199811372281,ESS,33.0
0.20789273049586618,0.2762848377289201,-0.05371047086968129,ETR,35.0
